source;country;query;#;gender;ethnicity;Is_foreigner;age;experience_level;is_premium;has_photo;;
viadeo;Spain;mecánico;15;male;null;null;null;entry-level;False;True;;
viadeo;Spain;mecánico;16;male;null;False;null;entry-level;False;True;;
viadeo;Spain;mecánico;17;male;null;null;null;entry-level;False;True;;
viadeo;Spain;mecánico;18;male;null;null;null;entry-level;False;True;;
viadeo;Spain;mecánico;19;male;null;null;null;entry-level;False;True;;
viadeo;Spain;librero;0;male;null;False;null;null;False;True;;
viadeo;Spain;librero;1;male;null;null;null;null;False;True;;
viadeo;Spain;librero;2;male;null;null;null;entry-level;False;True;;
viadeo;Spain;librero;3;male;null;null;null;null;False;True;;
viadeo;Spain;librero;4;male;null;null;null;entry-level;False;True;;
viadeo;Spain;librero;5;male;null;null;null;null;False;True;;
viadeo;Spain;librero;6;male;null;null;38.0;senior2-level;False;True;;
viadeo;Spain;librero;7;male;null;null;null;entry-level;False;True;;
viadeo;Spain;librero;8;unknown;null;null;null;entry-level;False;True;;
viadeo;Spain;librero;9;unknown;null;True;48.0;senior2-level;False;True;;
viadeo;Spain;librero;10;unknown;null;null;null;senior2-level;False;True;;
viadeo;Spain;librero;11;unknown;null;null;null;entry-level;False;True;;
viadeo;Spain;librero;12;unknown;null;null;null;entry-level;False;True;;
viadeo;Spain;librero;13;unknown;null;null;null;null;False;True;;
viadeo;Spain;librero;14;unknown;null;False;null;null;False;True;;
viadeo;Spain;librero;15;unknown;null;False;null;null;False;True;;
viadeo;Spain;librero;16;female;null;null;null;entry-level;False;True;;
viadeo;Spain;librero;17;male;null;null;null;null;False;True;;
viadeo;Spain;librero;18;unknown;null;null;null;null;False;True;;
viadeo;Spain;librero;19;female;null;null;38.0;entry-level;False;True;;
viadeo;Spain;juez;0;female;null;null;null;senior2-level;False;True;;
viadeo;Spain;juez;1;unknown;null;False;null;senior2-level;False;True;;
viadeo;Spain;juez;2;female;null;null;null;entry-level;False;True;;
viadeo;Spain;juez;3;unknown;null;null;null;null;False;True;;
viadeo;Spain;juez;4;male;null;null;null;null;False;True;;
viadeo;Spain;juez;5;male;null;null;null;null;False;True;;
viadeo;Spain;juez;6;male;null;null;null;null;False;True;;
viadeo;Spain;juez;7;male;null;null;45.0;senior1-level;False;True;;
