source;country;query;#;gender;ethnicity;Is_foreigner;age;experience_level;is_premium;has_photo;
viadeo;France;juge;7;unknown;null;null;null;null;False;True;
viadeo;France;juge;8;unknown;null;True;38.0;null;False;True;
viadeo;France;juge;9;unknown;null;True;null;null;False;True;
viadeo;France;juge;10;unknown;null;True;null;null;False;True;
viadeo;France;juge;11;unknown;null;True;null;null;False;True;
viadeo;France;juge;12;unknown;null;False;null;null;False;True;
viadeo;France;juge;13;unknown;null;True;null;null;False;True;
viadeo;France;juge;14;male;null;False;50.0;senior2-level;False;True;
viadeo;France;juge;15;female;null;False;29.0;senior1-level;False;True;
viadeo;France;juge;16;male;null;null;42.0;senior2-level;False;True;
viadeo;France;juge;17;female;null;False;39.0;senior2-level;False;True;
viadeo;France;juge;18;male;null;null;51.0;senior2-level;False;True;
viadeo;France;juge;19;female;null;null;26.0;senior1-level;False;True;
viadeo;France;kinésithérapeute;0;unknown;null;True;null;senior2-level;False;True;
viadeo;France;kinésithérapeute;1;unknown;null;False;31.0;senior2-level;False;True;
viadeo;France;kinésithérapeute;2;female;null;null;null;senior2-level;False;True;
viadeo;France;kinésithérapeute;3;male;null;null;37.0;senior2-level;False;True;
viadeo;France;kinésithérapeute;4;male;null;False;30.0;mid-level;False;True;
viadeo;France;kinésithérapeute;5;female;null;True;42.0;senior2-level;False;True;
viadeo;France;kinésithérapeute;6;male;null;False;43.0;senior2-level;False;True;
viadeo;France;kinésithérapeute;7;unknown;null;null;32.0;senior2-level;False;True;
viadeo;France;kinésithérapeute;8;female;null;null;36.0;senior2-level;False;True;
viadeo;France;kinésithérapeute;9;male;null;null;29.0;senior1-level;False;True;
viadeo;France;kinésithérapeute;10;male;null;null;56.0;entry-level;False;True;
viadeo;France;kinésithérapeute;11;female;null;null;44.0;senior2-level;False;True;
viadeo;France;kinésithérapeute;12;male;null;False;30.0;senior1-level;False;True;
